judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content,image_url
Membongkar Jaringan Teroris,Abdurrahman Pribadi,345.02,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,membongkar jaringan teroris abdurrahman pribadi sosial politik umum,/images/no_cover.png
Seni Membaca Bahasa Isyarat,"Brown, Christopher",419,Penyiangan 2025-2,umum,umum,umum umum,seni membaca bahasa isyarat brown christopher umum umum,/images/no_cover.png
150 Resep Herbal untuk Menaklukkan Diabetes Mellitus,Edjie Djauhari,582.12,Penyiangan 2025-2,sains,umum,sains umum, resep herbal untuk menaklukkan diabetes mellitus edjie djauhari sains umum,/images/no_cover.png
Menyayangimu,Ida Fr. Iana,Fik,Penyiangan 2025-2,umum,umum,umum umum,menyayangimu ida fr iana umum umum,/images/no_cover.png
Terapi Jus Buah dan Sayuran,Rifda Sabella,615.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,terapi jus buah dan sayuran rifda sabella teknologi umum,/images/no_cover.png
Gaul Dengan Facebook,Setio Budi Cahyono,004.678,Penyiangan 2025-2,umum,umum,umum umum,gaul dengan facebook setio budi cahyono umum umum,/images/no_cover.png
Gaul Dengan Facebook,Setio Budi Cahyono,004.678,Penyiangan 2025-2,umum,umum,umum umum,gaul dengan facebook setio budi cahyono umum umum,/images/no_cover.png
Makanan Untuk Meningkatkan Gairah Seksual,Rifdah Sabella,641.563,Penyiangan 2025-2,teknologi,umum,teknologi umum,makanan untuk meningkatkan gairah seksual rifdah sabella teknologi umum,/images/no_cover.png
Pesantren Vs Kapitalisme Sekolah,Syamsul Ma'arif,297.734.1,Penyiangan 2025-2,agama,umum,agama umum,pesantren vs kapitalisme sekolah syamsul maarif agama umum,/images/no_cover.png
Cari Duit Lewat Sulap : 107 Triks Sulap Tubuh Tanpa Alat Peraga,"Albett, Stephen",793.8,Penyiangan 2025-2,umum,umum,umum umum,cari duit lewat sulap   triks sulap tubuh tanpa alat peraga albett stephen umum umum,/images/no_cover.png
Super Dahsyat Indra Ke Enam : Metode Pengaktifan Indra Ke Enam,Wisnawan Pamungkas,153.4,Penyiangan 2025-2,umum,umum,umum umum,super dahsyat indra ke enam  metode pengaktifan indra ke enam wisnawan pamungkas umum umum,/images/no_cover.png
"Critical Thinking Skills Success: Tes kemampuan Berpikir kritis Dalam 20 Menit / Starkey, Lauren","Starkey, Lauren",153,Penyiangan 2025-2,umum,umum,umum umum,critical thinking skills success tes kemampuan berpikir kritis dalam  menit  starkey lauren starkey lauren umum umum,/images/no_cover.png
Kumpulan Soal dan Penyelesaian : Olimpiade Matematika 2 Asyik untuk Sekolah Dasar,Hannah Debora,372.7,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan soal dan penyelesaian  olimpiade matematika  asyik untuk sekolah dasar hannah debora sosial politik anak,/images/no_cover.png
Kumpulan Doa & Wirid Ampuh Kunci Sukses Bisnis,"Zakariya, Taufiq",297.541,Penyiangan 2025-2,agama,umum,agama umum,kumpulan doa  wirid ampuh kunci sukses bisnis zakariya taufiq agama umum,/images/no_cover.png
Doa & Amalan Mustajab Agar Segera Mendapat Panggilan Haji Dan Umrah,Jufri Hidayat,296.541,Penyiangan 2025-2,agama,umum,agama umum,doa  amalan mustajab agar segera mendapat panggilan haji dan umrah jufri hidayat agama umum,/images/no_cover.png
"Kumpulan Legenda, Hikayat & Cerita Rakyat Nusantara",Ayu Mayasti,398,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan legenda hikayat  cerita rakyat nusantara ayu mayasti sosial politik umum,/images/no_cover.png
Korean Star,Shin Ji Hyun,927,Penyiangan 2025-2,sejarah,umum,sejarah umum,korean star shin ji hyun sejarah umum,/images/no_cover.png
25 Menu Steak + Pizza Laziss Ala Resto,Anti Aprilyanti Suganti,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum, menu steak  pizza laziss ala resto anti aprilyanti suganti teknologi umum,/images/no_cover.png
Galeri Nama Indah Pilihan Untuk Buah Hati Anda,Endang Supriani,929.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,galeri nama indah pilihan untuk buah hati anda endang supriani sejarah umum,/images/no_cover.png
BlackBerry : Panduan Praktis untuk Pemula,Kim,384.6,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,blackberry  panduan praktis untuk pemula kim sosial politik anak,/images/no_cover.png
Lentera Ilahi ; Menelusuri Jalan Keimanan Menuju Pencerahan Kehidupan,Miftah Faridl,297,Penyiangan 2025-2,agama,umum,agama umum,lentera ilahi  menelusuri jalan keimanan menuju pencerahan kehidupan miftah faridl agama umum,/images/no_cover.png
Strategi Penanggulangan Kejahatan Telematika,Al Wisnubroto,364.1,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,strategi penanggulangan kejahatan telematika al wisnubroto sosial politik umum,/images/no_cover.png
Top Hits Indonesia,Aan Apu,781,Penyiangan 2025-2,umum,umum,umum umum,top hits indonesia aan apu umum umum,/images/no_cover.png
97 Ide Indah Katakan Cinta,Vallent Putri,128.46,Penyiangan 2025-2,umum,umum,umum umum, ide indah katakan cinta vallent putri umum umum,/images/no_cover.png
Nilai 100 Ujian Harian Kelas 4 SD,Heriberta S,372.1,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,nilai  ujian harian kelas  sd heriberta s sosial politik umum,/images/no_cover.png
Resep Sehat & Cantik Ala Selebritis,Intan Nurina,613,Penyiangan 2025-2,teknologi,umum,teknologi umum,resep sehat  cantik ala selebritis intan nurina teknologi umum,/images/no_cover.png
Shalat Ngebut Bisa Benjut !,Burhan Shodiq,297.412,Penyiangan 2025-2,agama,umum,agama umum,shalat ngebut bisa benjut  burhan shodiq agama umum,/images/no_cover.png
Jurus sukses Budidaya Pepaya Kalifornia,Anton Prayoga,634.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,jurus sukses budidaya pepaya kalifornia anton prayoga teknologi umum,/images/no_cover.png
Membongkar Jaringan Teroris,Abdurrahman Pribadi,345.02,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,membongkar jaringan teroris abdurrahman pribadi sosial politik umum,/images/no_cover.png
Seni Membaca Bahasa Isyarat,"Brown, Christopher",419,Penyiangan 2025-2,umum,umum,umum umum,seni membaca bahasa isyarat brown christopher umum umum,/images/no_cover.png
Keajaiban Puasa Sunnah,Ahmad Ghozali S.,297.413.2,Penyiangan 2025-2,agama,umum,agama umum,keajaiban puasa sunnah ahmad ghozali s agama umum,/images/no_cover.png
Pintar Lolos TPA Tes Potensi Akademik,Esti Sukapsih,153.93,Penyiangan 2025-2,umum,umum,umum umum,pintar lolos tpa tes potensi akademik esti sukapsih umum umum,/images/no_cover.png
Terapi Jus Buah dan Sayuran,Rifda Sabella,615.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,terapi jus buah dan sayuran rifda sabella teknologi umum,/images/no_cover.png
Gaul Dengan Facebook,Setio Budi Cahyono,004.678,Penyiangan 2025-2,umum,umum,umum umum,gaul dengan facebook setio budi cahyono umum umum,/images/no_cover.png
Sukses Bertanam Buah Koleksi Eksklusif dalam Pot,Anton Prayogo,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,sukses bertanam buah koleksi eksklusif dalam pot anton prayogo teknologi umum,/images/no_cover.png
Memerantikan Ejaan dalam Karya Tulis Ilmiah,R. Kunjana Rahardi,808,Penyiangan 2025-2,sastra,umum,sastra umum,memerantikan ejaan dalam karya tulis ilmiah r kunjana rahardi sastra umum,/images/no_cover.png
Pesantren Vs Kapitalisme Sekolah,Syamsul Ma'arif,297.734.1,Penyiangan 2025-2,agama,umum,agama umum,pesantren vs kapitalisme sekolah syamsul maarif agama umum,/images/no_cover.png
Cari Duit Lewat Sulap : 107 Triks Sulap Tubuh Tanpa Alat Peraga,"Albett, Stephen",793.8,Penyiangan 2025-2,umum,umum,umum umum,cari duit lewat sulap   triks sulap tubuh tanpa alat peraga albett stephen umum umum,/images/no_cover.png
Super Dahsyat Indra Ke Enam : Metode Pengaktifan Indra Ke Enam,Wisnawan Pamungkas,153.4,Penyiangan 2025-2,umum,umum,umum umum,super dahsyat indra ke enam  metode pengaktifan indra ke enam wisnawan pamungkas umum umum,/images/no_cover.png
"Critical Thinking Skills Success: Tes kemampuan Berpikir kritis Dalam 20 Menit / Starkey, Lauren","Starkey, Lauren",153,Penyiangan 2025-2,umum,umum,umum umum,critical thinking skills success tes kemampuan berpikir kritis dalam  menit  starkey lauren starkey lauren umum umum,/images/no_cover.png
Kumpulan Soal dan Penyelesaian : Olimpiade Matematika 2 Asyik untuk Sekolah Dasar,Hannah Debora,372.7,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan soal dan penyelesaian  olimpiade matematika  asyik untuk sekolah dasar hannah debora sosial politik anak,/images/no_cover.png
Kumpulan Soal dan Penyelesaian : Olimpiade Matematika 2 Asyik untuk Sekolah Dasar,Hannah Debora,372.7,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan soal dan penyelesaian  olimpiade matematika  asyik untuk sekolah dasar hannah debora sosial politik anak,/images/no_cover.png
Kumpulan Soal dan Penyelesaian : Olimpiade Matematika Asyik untuk Sekolah Dasar,Hannah Debora,372.7,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan soal dan penyelesaian  olimpiade matematika asyik untuk sekolah dasar hannah debora sosial politik anak,/images/no_cover.png
"Kumpulan Legenda, Hikayat & Cerita Rakyat Nusantara",Ayu Mayasti,398,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,kumpulan legenda hikayat  cerita rakyat nusantara ayu mayasti sosial politik umum,/images/no_cover.png
Korean Star,Shin Ji Hyun,927,Penyiangan 2025-2,sejarah,umum,sejarah umum,korean star shin ji hyun sejarah umum,/images/no_cover.png
25 Menu Steak + Pizza Laziss Ala Resto,Anti Aprilyanti Suganti,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum, menu steak  pizza laziss ala resto anti aprilyanti suganti teknologi umum,/images/no_cover.png
Galeri Nama Indah Pilihan Untuk Buah Hati Anda,Endang Supriani,929.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,galeri nama indah pilihan untuk buah hati anda endang supriani sejarah umum,/images/no_cover.png
BlackBerry : Panduan Praktis untuk Pemula,Kim,384.6,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,blackberry  panduan praktis untuk pemula kim sosial politik anak,/images/no_cover.png
Titik Kalimat Cinta,Muggy Nugraha,Fik,Penyiangan 2025-2,umum,umum,umum umum,titik kalimat cinta muggy nugraha umum umum,/images/no_cover.png
Panduan Sukses Bertanam 20 Buah & Sayuran,Bambang Hernowo,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan sukses bertanam  buah  sayuran bambang hernowo teknologi umum,/images/no_cover.png
Top Hits Indonesia,Aan Apu,781,Penyiangan 2025-2,umum,umum,umum umum,top hits indonesia aan apu umum umum,/images/no_cover.png
Nilai 100 Ujian Harian Kelas 4 SD,Heriberta S,372.1,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,nilai  ujian harian kelas  sd heriberta s sosial politik umum,/images/no_cover.png
Mindset Pengusaha Sukses dan Tahan Kritis,Suryono Ekotama,650,Penyiangan 2025-2,teknologi,umum,teknologi umum,mindset pengusaha sukses dan tahan kritis suryono ekotama teknologi umum,/images/no_cover.png
Cara Pintar Merawat Bayi & Balita,Esti Nurlina Salim,649.122,Penyiangan 2025-2,teknologi,umum,teknologi umum,cara pintar merawat bayi  balita esti nurlina salim teknologi umum,/images/no_cover.png
Jurus sukses Budidaya Pepaya Kalifornia,Anton Prayoga,634.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,jurus sukses budidaya pepaya kalifornia anton prayoga teknologi umum,/images/no_cover.png
Seni Membaca Bahasa Isyarat,"Brown, Christopher",419,Penyiangan 2025-2,umum,umum,umum umum,seni membaca bahasa isyarat brown christopher umum umum,/images/no_cover.png
Dibalik Tragedi,Latif ; Eidelweis Almira,FIK,Penyiangan 2025-2,umum,umum,umum umum,dibalik tragedi latif  eidelweis almira umum umum,/images/no_cover.png
Keajaiban Puasa Sunnah,Ahmad Ghozali S.,297.413.2,Penyiangan 2025-2,agama,umum,agama umum,keajaiban puasa sunnah ahmad ghozali s agama umum,/images/no_cover.png
Pintar Lolos TPA Tes Potensi Akademik,Esti Sukapsih,153.93,Penyiangan 2025-2,umum,umum,umum umum,pintar lolos tpa tes potensi akademik esti sukapsih umum umum,/images/no_cover.png
101 Tips Agar Tanaman Cepat Berbuah,Vera Puspita Soebiyanto,631.53,Penyiangan 2025-2,teknologi,umum,teknologi umum, tips agar tanaman cepat berbuah vera puspita soebiyanto teknologi umum,/images/no_cover.png
Gaul Dengan Facebook,Setio Budi Cahyono,004.678,Penyiangan 2025-2,umum,umum,umum umum,gaul dengan facebook setio budi cahyono umum umum,/images/no_cover.png
Makanan Untuk Meningkatkan Gairah Seksual,Rifdah Sabella,641.563,Penyiangan 2025-2,teknologi,umum,teknologi umum,makanan untuk meningkatkan gairah seksual rifdah sabella teknologi umum,/images/no_cover.png
Makanan Untuk Meningkatkan Gairah Seksual,Rifdah Sabella,641.563,Penyiangan 2025-2,teknologi,umum,teknologi umum,makanan untuk meningkatkan gairah seksual rifdah sabella teknologi umum,/images/no_cover.png
The Master Yunior,Tiangsae,793.8,Penyiangan 2025-2,umum,umum,umum umum,the master yunior tiangsae umum umum,/images/no_cover.png
Cari Duit Lewat Sulap : 107 Triks Sulap Tubuh Tanpa Alat Peraga,"Albett, Stephen",793.8,Penyiangan 2025-2,umum,umum,umum umum,cari duit lewat sulap   triks sulap tubuh tanpa alat peraga albett stephen umum umum,/images/no_cover.png
Skrip Shit : Kisah Sesat Mahasiswa Abadi,Alitt Susanto,Fik,Penyiangan 2025-2,umum,umum,umum umum,skrip shit  kisah sesat mahasiswa abadi alitt susanto umum umum,/images/no_cover.png
"Critical Thinking Skills Success: Tes kemampuan Berpikir kritis Dalam 20 Menit / Starkey, Lauren","Starkey, Lauren",153,Penyiangan 2025-2,umum,umum,umum umum,critical thinking skills success tes kemampuan berpikir kritis dalam  menit  starkey lauren starkey lauren umum umum,/images/no_cover.png
Kumpulan Doa & Wirid Ampuh Kunci Sukses Bisnis,"Zakariya, Taufiq",297.541,Penyiangan 2025-2,agama,umum,agama umum,kumpulan doa  wirid ampuh kunci sukses bisnis zakariya taufiq agama umum,/images/no_cover.png
Kumpulan Soal dan Penyelesaian : Olimpiade Matematika Asyik untuk Sekolah Dasar,Hannah Debora,372.7,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan soal dan penyelesaian  olimpiade matematika asyik untuk sekolah dasar hannah debora sosial politik anak,/images/no_cover.png
Kumpulan Soal dan Penyelesaian : Olimpiade Matematika Asyik untuk Sekolah Dasar,Hannah Debora,372.7,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan soal dan penyelesaian  olimpiade matematika asyik untuk sekolah dasar hannah debora sosial politik anak,/images/no_cover.png
Korean Star,Shin Ji Hyun,927,Penyiangan 2025-2,sejarah,umum,sejarah umum,korean star shin ji hyun sejarah umum,/images/no_cover.png
Chicago a Novel,Ala Al Aswany,Fik,Penyiangan 2025-2,umum,umum,umum umum,chicago a novel ala al aswany umum umum,/images/no_cover.png
Cara Pintar Lolos Psikotes,M. Hariwijaya,153,Penyiangan 2025-2,umum,umum,umum umum,cara pintar lolos psikotes m hariwijaya umum umum,/images/no_cover.png
Galeri Nama Indah Pilihan Untuk Buah Hati Anda,Endang Supriani,929.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,galeri nama indah pilihan untuk buah hati anda endang supriani sejarah umum,/images/no_cover.png
BlackBerry : Panduan Praktis untuk Pemula,Kim,384.6,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,blackberry  panduan praktis untuk pemula kim sosial politik anak,/images/no_cover.png
Titik Kalimat Cinta,Muggy Nugraha,Fik,Penyiangan 2025-2,umum,umum,umum umum,titik kalimat cinta muggy nugraha umum umum,/images/no_cover.png
Panduan Sukses Bertanam 20 Buah & Sayuran,Bambang Hernowo,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,panduan sukses bertanam  buah  sayuran bambang hernowo teknologi umum,/images/no_cover.png
Top Hits Indonesia,Aan Apu,781,Penyiangan 2025-2,umum,umum,umum umum,top hits indonesia aan apu umum umum,/images/no_cover.png
Nilai 100 Ujian Harian Kelas 4 SD,Heriberta S,372.1,Penyiangan 2025-2,sosial politik,umum,sosial politik umum,nilai  ujian harian kelas  sd heriberta s sosial politik umum,/images/no_cover.png
Mindset Pengusaha Sukses dan Tahan Kritis,Suryono Ekotama,650,Penyiangan 2025-2,teknologi,umum,teknologi umum,mindset pengusaha sukses dan tahan kritis suryono ekotama teknologi umum,/images/no_cover.png
Cara Pintar Merawat Bayi & Balita,Esti Nurlina Salim,649.122,Penyiangan 2025-2,teknologi,umum,teknologi umum,cara pintar merawat bayi  balita esti nurlina salim teknologi umum,/images/no_cover.png
Jurus sukses Budidaya Pepaya Kalifornia,Anton Prayoga,634.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,jurus sukses budidaya pepaya kalifornia anton prayoga teknologi umum,/images/no_cover.png
Seni Membaca Bahasa Isyarat,"Brown, Christopher",419,Penyiangan 2025-2,umum,umum,umum umum,seni membaca bahasa isyarat brown christopher umum umum,/images/no_cover.png
Dibalik Tragedi,Latif ; Eidelweis Almira,FIK,Penyiangan 2025-2,umum,umum,umum umum,dibalik tragedi latif  eidelweis almira umum umum,/images/no_cover.png
150 Resep Herbal untuk Menaklukkan Diabetes Mellitus,Edjie Djauhari,582.12,Penyiangan 2025-2,sains,umum,sains umum, resep herbal untuk menaklukkan diabetes mellitus edjie djauhari sains umum,/images/no_cover.png
Menyayangimu,Ida Fr. Iana,Fik,Penyiangan 2025-2,umum,umum,umum umum,menyayangimu ida fr iana umum umum,/images/no_cover.png
101 Tips Agar Tanaman Cepat Berbuah,Vera Puspita Soebiyanto,631.53,Penyiangan 2025-2,teknologi,umum,teknologi umum, tips agar tanaman cepat berbuah vera puspita soebiyanto teknologi umum,/images/no_cover.png
Sukses Bertanam Buah Koleksi Eksklusif dalam Pot,Anton Prayogo,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,sukses bertanam buah koleksi eksklusif dalam pot anton prayogo teknologi umum,/images/no_cover.png
Memerantikan Ejaan dalam Karya Tulis Ilmiah,R. Kunjana Rahardi,808,Penyiangan 2025-2,sastra,umum,sastra umum,memerantikan ejaan dalam karya tulis ilmiah r kunjana rahardi sastra umum,/images/no_cover.png
Makanan Untuk Meningkatkan Gairah Seksual,Rifdah Sabella,641.563,Penyiangan 2025-2,teknologi,umum,teknologi umum,makanan untuk meningkatkan gairah seksual rifdah sabella teknologi umum,/images/no_cover.png
The Master Yunior,Tiangsae,793.8,Penyiangan 2025-2,umum,umum,umum umum,the master yunior tiangsae umum umum,/images/no_cover.png
Cari Duit Lewat Sulap : 107 Triks Sulap Tubuh Tanpa Alat Peraga,"Albett, Stephen",793.8,Penyiangan 2025-2,umum,umum,umum umum,cari duit lewat sulap   triks sulap tubuh tanpa alat peraga albett stephen umum umum,/images/no_cover.png
Skrip Shit : Kisah Sesat Mahasiswa Abadi,Alitt Susanto,Fik,Penyiangan 2025-2,umum,umum,umum umum,skrip shit  kisah sesat mahasiswa abadi alitt susanto umum umum,/images/no_cover.png
"Critical Thinking Skills Success: Tes kemampuan Berpikir kritis Dalam 20 Menit / Starkey, Lauren","Starkey, Lauren",153,Penyiangan 2025-2,umum,umum,umum umum,critical thinking skills success tes kemampuan berpikir kritis dalam  menit  starkey lauren starkey lauren umum umum,/images/no_cover.png
Kumpulan Soal dan Penyelesaian : Olimpiade Matematika 2 Asyik untuk Sekolah Dasar,Hannah Debora,372.7,Penyiangan 2025-2,sosial politik,anak,sosial politik anak,kumpulan soal dan penyelesaian  olimpiade matematika  asyik untuk sekolah dasar hannah debora sosial politik anak,/images/no_cover.png
Doa & Amalan Mustajab Agar Segera Mendapat Panggilan Haji Dan Umrah,Jufri Hidayat,296.541,Penyiangan 2025-2,agama,umum,agama umum,doa  amalan mustajab agar segera mendapat panggilan haji dan umrah jufri hidayat agama umum,/images/no_cover.png
